account_id,customer_id,account_type,branch_id,balance,opening_date,account_status
A0464,C0085,Salary,B008,3485713.47,2023-07-26,Active
A0452,C0272,Savings,B019,2130085.36,2021-01-10,Frozen
A0059,C0320,Salary,B011,3621209.8,2021-11-04,Inactive
A0481,C0387,Current,B037,3642990.39,2022-12-16,Inactive
A0017,C0243,Current,B035,1100108.76,2026-05-17,Inactive
A0553,C0091,Salary,B046,821557.08,2022-10-31,Active
A0522,C0304,Savings,B031,595492.17,2020-11-02,Active
A0113,C0093,Current,B037,3430373.55,2019-02-14,Frozen
A0350,C0018,Savings,B037,2416857.39,2022-02-18,Active
A0560,C0211,Salary,B004,3306538.79,2020-10-11,Active
A0435,C0456,Business,B010,1081609.65,2024-11-01,Inactive
A0583,C0122,InvalidType,B039,13105.41,2024-10-03,Active
A0053,C0427,Business,B002,1219107.87,2019-06-08,Frozen
A0543,C0388,Business,B023,2379655.59,2024-10-06,Inactive
A0333,C0419,Current,B038,4516376.77,2025-02-18,Active
A0070,C0268,Savings,B034,36963.07,2025-05-05,Active
A0370,C0120,Business,B044,3528333.42,2023-04-28,Inactive
A0275,C0430,Salary,B022,4602003.11,2018-07-20,Active
A0034,C0440,Current,B035,982963.21,2026-03-24,Frozen
A0001,C0059,Salary,B029,1202499.03,2025-03-15,Frozen
A0154,C0029,Salary,B026,357852.09,2023-04-10,Active
A0018,C0408,Salary,B041,721233.61,2025-08-06,Frozen
A0407,C0377,Current,B032,3269503.8,2023-04-15,Frozen
A0082,C0365,Savings,B012,3201816.28,2022-12-04,Active
A0010,C0045,Savings,B004,890782.83,2020-10-28,Frozen
A0462,C0415,Savings,B013,4459624.16,2023-02-19,Active
A0089,C0311,Current,B030,4648639.49,2024-06-12,Active
A0520,C0218,Savings,B005,95013.25,2023-06-07,Inactive
A0296,C0034,Current,B018,4203855.03,2021-10-21,Inactive
A0016,C0392,Business,B025,1976171.18,2025-05-30,Active
A0156,C0128,Business,B029,1236563.79,2018-05-18,Active
A0343,C0079,Salary,B043,628620.22,2018-02-17,Active
A0374,C0172,Salary,B018,4011779.49,2020-11-11,Frozen
A0266,C0445,Current,B012,3846014.83,2018-07-30,Inactive
A0329,C0365,Business,B008,2961223.51,2023-03-12,Inactive
A0556,C0029,Business,B017,2473960.96,2022-03-28,Frozen
A0444,C0021,Business,B047,3843263.35,2018-05-18,Inactive
A0277,C0355,Current,B030,3746924.71,2022-01-15,Active
A0320,C0078,Salary,B028,41615.77,2023-05-12,Active
A0397,C0324,Savings,B024,2673596.86,2021-10-24,Active
A0072,C0334,Salary,B017,4275029.65,2022-10-01,Frozen
A0245,C0184,Savings,B045,3899351.42,2019-07-04,Frozen
A0555,C0252,Business,B031,2811714.8,2019-10-03,Frozen
A0525,C0180,Savings,B006,728639.33,2026-05-15,Inactive
A0544,C0249,Salary,B010,3840229.78,2019-03-19,Active
A0108,C0062,Business,B021,3446363.53,2018-02-18,Frozen
A0356,C0376,Salary,B027,1765219.79,2021-04-21,Inactive
A0096,C0181,Savings,B045,4161053.05,2020-10-13,Inactive
A0567,C0255,Salary,B011,3074524.54,2022-01-28,Inactive
A0538,C0007,Business,B044,526754.25,2022-11-30,Frozen
A0523,C0034,Salary,B043,52351.71,2019-01-31,Active
A0378,C0211,Savings,B034,520432.52,2023-01-01,Inactive
A0271,C0302,Business,B030,2051346.68,2018-11-22,Frozen
A0157,C0236,Savings,B034,3330373.41,2020-05-03,Inactive
A0418,C0004,Savings,B012,4630758.64,2025-12-04,Frozen
