loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_status
L0042,C0388,Car Loan,687925.85,15.64,2021-12-12,Closed
L0016,C0457,Education Loan,1511655.14,17.25,2025-06-12,Defaulted
L0251,C0453,Home Loan,8390389.8,10.4,2025-08-13,Active
L0281,C0339,Home Loan,8453458.98,8.41,2022-02-16,Active
L0284,C0124,Home Loan,9850996.57,9.86,2020-03-29,Active
L0029,C0389,Home Loan,5161871.93,13.68,2025-06-02,Active
L0107,C0017,Business Loan,2218065.04,7.46,2020-12-06,Defaulted
L0083,C0327,Home Loan,478605.9,10.28,2023-06-06,Active
L0142,C0010,Personal Loan,8223170.37,10.98,2024-07-20,Active
L0215,C0268,Car Loan,419161.72,15.51,2026-03-27,Active
L0291,C0426,Home Loan,-503864.61,8.21,2024-06-05,Active
L0071,C0202,Home Loan,7255732.73,13.55,2025-07-24,Active
L0173,C0220,Business Loan,5227745.69,15.35,2022-03-07,Closed
L0012,C0350,Personal Loan,8876733.94,13.66,2020-10-27,Closed
L0116,C0455,Home Loan,6473886.36,7.24,2020-07-31,Closed
L0129,C0329,Home Loan,7120393.08,16.84,2020-12-26,Defaulted
L0054,C0332,Business Loan,7465253.59,7.94,2025-07-10,Defaulted
L0132,C0100,Education Loan,975951.42,15.62,2020-02-04,Active
L0106,C0359,Car Loan,6361945.72,7.66,2022-01-23,Closed
L0043,C0340,Car Loan,5826773.96,6.97,2024-12-28,Active
L0149,C0241,Personal Loan,8974086.08,13.56,2024-11-12,Closed
L0214,C0339,Business Loan,4817768.66,16.85,2023-12-30,Closed
L0020,C0188,Education Loan,9331993.6,8.69,2024-02-05,Defaulted
L0237,C0090,Personal Loan,6416461.86,9.63,2025-03-03,Active
L0133,C0105,Education Loan,2616124.39,13.8,2026-05-31,Defaulted
L0098,C0374,Business Loan,3850559.06,9.94,2021-09-14,Defaulted
L0218,C0080,Personal Loan,8766739.78,9.28,2022-09-13,Defaulted
L0264,C0234,Business Loan,2607590.54,7.91,2024-10-04,Closed
L0176,C0312,Education Loan,2573065.66,8.29,2024-02-12,Closed
L0295,C0024,Crypto Loan,760219.34,10.12,2024-08-02,Active
