transaction_id,account_id,transaction_type,transaction_amount,transaction_date,transaction_mode,merchant_category
T03540,A0293,DEBIT,97121.84,2024-03-28,Net Banking,Travel
T03879,A0113,DEBIT,289192.6,2026-03-10,ATM,Education
T01773,A0238,CREDIT,479234.82,2024-05-14,Mobile Banking,Online Shopping
T01091,A0460,CREDIT,447931.23,2025-05-03,Mobile Banking,Grocery
T08787,A0265,CREDIT,420254.73,2025-03-03,UPI,Education
T02391,A0486,DEBIT,416720.44,2026-01-31,UPI,Education
T04271,A0374,CREDIT,22693.27,2026-01-24,Debit Card,Fuel
T04467,A0554,CREDIT,473328.22,2025-01-09,ATM,Travel
T06761,A0366,DEBIT,28294.92,2024-01-06,Debit Card,Online Shopping
T03115,A0378,DEBIT,321302.23,2026-04-21,ATM,Travel
T04678,A0339,DEBIT,209861.81,2024-10-24,Credit Card,Healthcare
T08450,A0524,DEBIT,216901.52,2025-12-04,Mobile Banking,Fuel
T03885,A0279,CREDIT,23659.46,2025-04-24,Debit Card,Grocery
T00923,A0470,DEBIT,376275.99,2026-02-14,Debit Card,Utilities
T00663,A0059,CREDIT,219334.09,2024-10-16,UPI,Utilities
T07677,A0310,CREDIT,393109.49,2024-01-26,Net Banking,Retail
T04773,A0219,CREDIT,297620.08,2025-09-19,Credit Card,Online Shopping
T05214,A0455,DEBIT,334366.39,2025-07-04,Mobile Banking,Retail
T08419,A0433,CREDIT,72829.75,2025-11-04,Debit Card,Entertainment
T04329,A0189,CREDIT,74918.37,2025-07-31,Credit Card,Utilities
T02731,A0275,CREDIT,283221.97,2026-07-12,Credit Card,Utilities
T03024,A0205,DEBIT,287809.72,2025-01-13,Credit Card,Restaurant
T05557,A0427,DEBIT,202690.06,2026-03-18,ATM,Entertainment
T01722,A0408,DEBIT,377506.01,2024-02-10,Net Banking,Fuel
T02209,A0313,CREDIT,326635.26,2024-11-27,ATM,Retail
T04074,A0472,CREDIT,153105.36,2025-12-03,ATM,Healthcare
T07151,A0466,DEBIT,423421.95,2024-09-07,Mobile Banking,Restaurant
T08398,A0453,DEBIT,348178.91,2025-04-04,Credit Card,Online Shopping
T02251,A0176,CREDIT,112341.93,2025-08-30,Debit Card,Education
T08718,A0052,CREDIT,421497.79,2025-06-10,UPI,Online Shopping
T08519,A0439,DEBIT,145318.2,2026-03-13,Debit Card,Utilities
T01643,A0175,CREDIT,470805.91,2025-09-13,Net Banking,Education
T08297,A0320,CREDIT,85157.08,2026-02-05,ATM,Online Shopping
T05739,A0193,DEBIT,403552.56,2026-08-03,UPI,Fuel
T00129,A0326,DEBIT,488493.07,2024-09-07,UPI,Fuel
T04496,A0090,CREDIT,246835.05,2024-10-24,ATM,Online Shopping
T08963,A0376,DEBIT,426320.82,2025-07-16,Debit Card,Grocery
T04876,A0373,CREDIT,443235.2,2026-04-18,Credit Card,Restaurant
T04972,A0003,CREDIT,443357.52,2024-12-11,UPI,Grocery
T03441,A0241,DEBIT,449310.36,2026-05-15,Mobile Banking,Travel
